"""","和歌山県_合計_実　　数","和歌山県_合計_前年(同月･期)比","和歌山県_国_実数","和歌山県_国_前年(同月･期)比","和歌山県_県_実数","和歌山県_県_前年(同月･期)比"
"平成23年12月","8060.0","-8.616780045351476","1726.0","58.20348304307973","3247.0","-4.752126723379291"
"平成24年1月","10510.0","86.84444444444443","4043.0","1298.961937716263","4013.0","43.938307030129124"
"平成24年2月","21160.0","231.03879849812262","8327.0","612.9280821917808","5904.0","78.26086956521738"
"平成24年3月","31317.0","65.33973919011669","17602.0","103.49132947976881","6987.0","87.57046979865771"
"平成24年4月","21764.0","211.3590844062947","1834.0","277.36625514403295","15227.0","330.5060785976816"
"平成24年5月","10553.0","25.0059227671168","2284.0","13.23748140803174","3994.0","74.79212253829323"
"平成24年6月","11864.0","-18.633838557026266","1614.0","-53.28509406657019","4322.0","18.508363038113515"
"平成24年7月","13074.0","15.8015943312666","3163.0","84.43148688046648","4919.0","-13.045783984444043"
"平成24年8月","16435.0","31.301430055125024","3516.0","20.287375983578528","7685.0","56.3899063899064"
"平成24年9月","20451.0","50.35288928098808","4946.0","88.56271444910408","8228.0","9.009009009009006"
"平成24年10月","17329.0","116.72086043021511","4745.0","183.1145584725537","6500.0","97.50835612275904"
"平成24年11月","15366.0","56.572243733442036","3172.0","167.90540540540542","5957.0","21.49704262696308"
"平成24年12月","12293.0","52.51861042183623","932.0","-46.00231749710313","5160.0","58.915922389898384"
"平成25年1月","11077.0","5.3948620361560415","5771.0","42.740539203561724","3175.0","-20.882133067530532"
"平成25年2月","12160.0","-42.53308128544423","7148.0","-14.15876065810015","2698.0","-54.30216802168022"
"平成25年3月","16866.0","-46.1442666922119","4644.0","-73.6166344733553","9651.0","38.12795191069128"
"平成25年4月","16050.0","-26.25436500643265","2054.0","11.995637949836421","8154.0","-46.45038418598541"
"平成25年5月","15841.0","50.10897375153985","6423.0","181.21716287215412","2943.0","-26.31447170756134"
"平成25年6月","29577.0","149.30040458530004","16349.0","912.9491945477076","5025.0","16.265617769551127"
"平成25年7月","18294.0","39.926571821936676","6300.0","99.17799557382233","5797.0","17.849156332587924"
"平成25年8月","17870.0","8.73136598722239","7750.0","120.42093287827078","5493.0","-28.523096942094995"
"平成25年9月","24657.0","20.56623148012322","5141.0","3.94257986251516","10670.0","29.679144385026746"
"平成25年10月","18369.0","6.001500375093769","5044.0","6.301369863013704","5676.0","-12.676923076923075"
"平成25年11月","11999.0","-21.91201353637902","2955.0","-6.8411097099621685","4792.0","-19.55682390464999"
"平成25年12月","12773.0","3.904661189294714","4036.0","333.0472103004292","6273.0","21.56976744186045"
"平成26年1月","11662.0","5.281213324907469","3350.0","-41.95113498527119","6377.0","100.85039370078741"
"平成26年2月","11647.0","-4.21875","5400.0","-24.454392837157243","4264.0","58.042994810971095"
"平成26年3月","16347.0","-3.0771967271433596","9589.0","106.4814814814815","2511.0","-73.98197078023003"
"平成26年4月","19698.0","22.728971962616825","4361.0","112.31742940603701","9413.0","15.440274711797898"
"平成26年5月","38967.0","145.9882583170254","23806.0","270.63677409310293","5296.0","79.95242949371391"
"平成26年6月","27357.0","-7.505832234506542","10782.0","-34.05101229432994","5066.0","0.8159203980099505"
"平成26年7月","18722.0","2.339564884661627","6838.0","8.53968253968253","6911.0","19.216836294635158"
"平成26年8月","16941.0","-5.198656966983776","3741.0","-51.729032258064514","6456.0","17.531403604587652"
"平成26年9月","20253.0","-17.861053656162554","5586.0","8.65590352071581","8260.0","-22.58669165885661"
"平成26年10月","13531.0","-26.33785181555882","2449.0","-51.447264076130054","5212.0","-8.174770965468639"
"平成26年11月","13107.0","9.234102841903493","5921.0","100.37225042301182","3551.0","-25.89732888146912"
"平成26年12月","11349.0","-11.148516401785017","2838.0","-29.682854311199208","3682.0","-41.30400127530687"
